"","artist","track","track_title","line","lyric"
"1","50 Cent","In Da Club","In Da Club",1,NA
"2","50 Cent","In Da Club","In Da Club",2,"Go, go, go, go, go, go"
"3","50 Cent","In Da Club","In Da Club",3,"Go Shorty, it's your birthday"
"4","50 Cent","In Da Club","In Da Club",4,"We gon' party like it's your birthday"
"5","50 Cent","In Da Club","In Da Club",5,"And we gon' sip Bacardi like it's your birthday"
"6","50 Cent","In Da Club","In Da Club",6,"And you know we don't give a fuck, it's not your birthday"
"7","50 Cent","In Da Club","In Da Club",7,"You can find me in the club, bottle full of bub'"
"8","50 Cent","In Da Club","In Da Club",8,"Look, mami, I got the X if you into takin' drugs"
"9","50 Cent","In Da Club","In Da Club",9,"I'm into havin' sex, I ain't into makin' love"
"10","50 Cent","In Da Club","In Da Club",10,"So come give me a hug if you into gettin' rubbed"
"11","50 Cent","In Da Club","In Da Club",11,"You can find me in the club, bottle full of bub'"
"12","50 Cent","In Da Club","In Da Club",12,"Look, mami, I got the X if you into takin' drugs"
"13","50 Cent","In Da Club","In Da Club",13,"I'm into havin' sex, I ain't into makin' love"
"14","50 Cent","In Da Club","In Da Club",14,"So come give me a hug if you into gettin' rubbed"
"15","50 Cent","In Da Club","In Da Club",15,"When I pull up out front, you see the Benz on dubs (Uh-huh)"
"16","50 Cent","In Da Club","In Da Club",16,"When I roll twenty deep, it's twenty knives in the club (Yeah)"
"17","50 Cent","In Da Club","In Da Club",17,"Niggas heard I fuck with Dre, now they wanna show me love"
"18","50 Cent","In Da Club","In Da Club",18,"When you sell like Eminem and the hoes, they wanna fuck (Woo)"
"19","50 Cent","In Da Club","In Da Club",19,"Look homie, ain't nothin' changed: hoes down, G's up"
"20","50 Cent","In Da Club","In Da Club",20,"I see Xzibit in the cut, hey nigga, roll that weed up! (Roll it!)"
"21","50 Cent","In Da Club","In Da Club",21,"If you watch how I move, you'll mistake me for a player or pimp"
"22","50 Cent","In Da Club","In Da Club",22,"Been hit with a few shells, but I don't walk with a limp (I'm aight)"
"23","50 Cent","In Da Club","In Da Club",23,"In the hood in L.A. they sayin', ""50, you hot"" (Uh-huh)"
"24","50 Cent","In Da Club","In Da Club",24,"They like me, I want 'em to love me like they love Pac"
"25","50 Cent","In Da Club","In Da Club",25,"But holla in New York, the niggas'll tell you I'm loco (Yeah)"
"26","50 Cent","In Da Club","In Da Club",26,"And the plan is to put the rap game in a chokehold (Uh-huh)"
"27","50 Cent","In Da Club","In Da Club",27,"I'm fully focused, man, my money on my mind"
"28","50 Cent","In Da Club","In Da Club",28,"Got a mil' out the deal and I'm still on the grind (Woo)"
"29","50 Cent","In Da Club","In Da Club",29,"Now Shorty said she feelin' my style, she feelin' my flow (Uh-huh)"
"30","50 Cent","In Da Club","In Da Club",30,"Her girlfriend with her, they bi and they ready to go (Okay)"
"31","50 Cent","In Da Club","In Da Club",31,"You can find me in the club, bottle full of bub'"
"32","50 Cent","In Da Club","In Da Club",32,"Look, mami, I got the X if you into takin' drugs"
"33","50 Cent","In Da Club","In Da Club",33,"I'm into havin' sex, I ain't into makin' love"
"34","50 Cent","In Da Club","In Da Club",34,"So come give me a hug if you into gettin' rubbed"
"35","50 Cent","In Da Club","In Da Club",35,"You can find me in the club, bottle full of bub'"
