"","artist","track","track_title","line","lyric"
"1","Sia","Cheap Thrills","Cheap Thrills",1,"Come on, come on, turn the radio on"
"2","Sia","Cheap Thrills","Cheap Thrills",2,"It's Friday night and I won't be long"
"3","Sia","Cheap Thrills","Cheap Thrills",3,"Gotta do my hair, put my make up on"
"4","Sia","Cheap Thrills","Cheap Thrills",4,"It's Friday night and I won't be long"
"5","Sia","Cheap Thrills","Cheap Thrills",5,"'Til I hit the dance floor"
"6","Sia","Cheap Thrills","Cheap Thrills",6,"Hit the dance floor"
"7","Sia","Cheap Thrills","Cheap Thrills",7,"I got all I need"
"8","Sia","Cheap Thrills","Cheap Thrills",8,"No, I ain't got cash"
"9","Sia","Cheap Thrills","Cheap Thrills",9,"I ain't got cash"
"10","Sia","Cheap Thrills","Cheap Thrills",10,"But I got you baby"
"11","Sia","Cheap Thrills","Cheap Thrills",11,"Baby, I don't need dollar bills to have fun tonight(I love cheap thrills)"
"12","Sia","Cheap Thrills","Cheap Thrills",12,"Baby, I don't need dollar bills to have fun tonight(I love cheap thrills)"
"13","Sia","Cheap Thrills","Cheap Thrills",13,"But I don't need no money"
"14","Sia","Cheap Thrills","Cheap Thrills",14,"As long as I can feel the beat"
"15","Sia","Cheap Thrills","Cheap Thrills",15,"I don't need no money"
"16","Sia","Cheap Thrills","Cheap Thrills",16,"As long as I keep dancing"
"17","Sia","Cheap Thrills","Cheap Thrills",17,"Come on, come on, turn the radio on"
"18","Sia","Cheap Thrills","Cheap Thrills",18,"It's Saturday and I won't be long"
"19","Sia","Cheap Thrills","Cheap Thrills",19,"Gotta paint my nails, put my high heels on"
"20","Sia","Cheap Thrills","Cheap Thrills",20,"It's Saturday and I won't be long"
"21","Sia","Cheap Thrills","Cheap Thrills",21,"'Til I hit the dance floor"
"22","Sia","Cheap Thrills","Cheap Thrills",22,"Hit the dance floor"
"23","Sia","Cheap Thrills","Cheap Thrills",23,"I got all I need"
"24","Sia","Cheap Thrills","Cheap Thrills",24,"No, I ain't got cash"
"25","Sia","Cheap Thrills","Cheap Thrills",25,"I ain't got cash"
"26","Sia","Cheap Thrills","Cheap Thrills",26,"But I got you, baby"
"27","Sia","Cheap Thrills","Cheap Thrills",27,"Baby, I don't need dollar bills to have fun tonight(I love cheap thrills)"
"28","Sia","Cheap Thrills","Cheap Thrills",28,"Baby, I don't need dollar bills to have fun tonight(I love cheap thrills)"
"29","Sia","Cheap Thrills","Cheap Thrills",29,"I don't need no money"
"30","Sia","Cheap Thrills","Cheap Thrills",30,"As long as I can feel the beat"
"31","Sia","Cheap Thrills","Cheap Thrills",31,"I don't need no money"
"32","Sia","Cheap Thrills","Cheap Thrills",32,"As long as I keep dancing"
"33","Sia","Cheap Thrills","Cheap Thrills",33,"(I love cheap thrills)(I love cheap thrills)"
"34","Sia","Cheap Thrills","Cheap Thrills",34,"I don't need no money"
"35","Sia","Cheap Thrills","Cheap Thrills",35,"As long as I can feel the beat"
"36","Sia","Cheap Thrills","Cheap Thrills",36,"I don't need no money"
