"","artist","track","track_title","line","lyric"
"1","Leona Lewis","Bleeding Love","Bleeding Love",1,"Closed off from love, I didn't need the pain"
"2","Leona Lewis","Bleeding Love","Bleeding Love",2,"Once or twice was enough and it was all in vain"
"3","Leona Lewis","Bleeding Love","Bleeding Love",3,"Time starts to pass, before you know it you're frozen"
"4","Leona Lewis","Bleeding Love","Bleeding Love",4,"But something happened for the very first time with you"
"5","Leona Lewis","Bleeding Love","Bleeding Love",5,"My heart melted to the ground"
"6","Leona Lewis","Bleeding Love","Bleeding Love",6,"Found something true"
"7","Leona Lewis","Bleeding Love","Bleeding Love",7,"And everyone's looking round thinking I'm going crazy"
"8","Leona Lewis","Bleeding Love","Bleeding Love",8,"But I don't care what they say, I'm in love with you"
"9","Leona Lewis","Bleeding Love","Bleeding Love",9,"They try to pull me away, but they don't know the truth"
"10","Leona Lewis","Bleeding Love","Bleeding Love",10,"My heart's crippled by the vein that I keep on closing"
"11","Leona Lewis","Bleeding Love","Bleeding Love",11,"You cut me open and I"
"12","Leona Lewis","Bleeding Love","Bleeding Love",12,"Keep bleeding"
"13","Leona Lewis","Bleeding Love","Bleeding Love",13,"Keep, keep bleeding love"
"14","Leona Lewis","Bleeding Love","Bleeding Love",14,"I keep bleeding"
"15","Leona Lewis","Bleeding Love","Bleeding Love",15,"I keep, keep bleeding love"
"16","Leona Lewis","Bleeding Love","Bleeding Love",16,"Keep bleeding"
"17","Leona Lewis","Bleeding Love","Bleeding Love",17,"Keep, keep bleeding love"
"18","Leona Lewis","Bleeding Love","Bleeding Love",18,"You cut me open"
"19","Leona Lewis","Bleeding Love","Bleeding Love",19,"Trying hard not to hear, but they talk so loud"
"20","Leona Lewis","Bleeding Love","Bleeding Love",20,"Their piercing sounds fill my ears, try to fill me with doubt"
"21","Leona Lewis","Bleeding Love","Bleeding Love",21,"Yet I know that their goal is to keep me from falling"
"22","Leona Lewis","Bleeding Love","Bleeding Love",22,"But nothing's greater than the risk"
"23","Leona Lewis","Bleeding Love","Bleeding Love",23,"That comes with your embrace"
"24","Leona Lewis","Bleeding Love","Bleeding Love",24,"And in this world of loneliness, I see your face"
"25","Leona Lewis","Bleeding Love","Bleeding Love",25,"Yet everyone around me thinks that I'm going crazy"
"26","Leona Lewis","Bleeding Love","Bleeding Love",26,"Maybe, maybe"
