"","artist","track","track_title","line","lyric"
"1","Lady GaGa","Bad Romance","Bad Romance",1,"Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh"
"2","Lady GaGa","Bad Romance","Bad Romance",2,"Caught in a bad romance"
"3","Lady GaGa","Bad Romance","Bad Romance",3,"Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh"
"4","Lady GaGa","Bad Romance","Bad Romance",4,"Caught in a bad romance"
"5","Lady GaGa","Bad Romance","Bad Romance",5,"Ra-ra-ah-ah-ah"
"6","Lady GaGa","Bad Romance","Bad Romance",6,"Roma Roma-ma"
"7","Lady GaGa","Bad Romance","Bad Romance",7,"Gaga, ""Oh la-la"""
"8","Lady GaGa","Bad Romance","Bad Romance",8,"Want your bad romance"
"9","Lady GaGa","Bad Romance","Bad Romance",9,"Ra-ra-ah-ah-ah"
"10","Lady GaGa","Bad Romance","Bad Romance",10,"Roma, Roma-ma"
"11","Lady GaGa","Bad Romance","Bad Romance",11,"Gaga, ""Oh la-la"""
"12","Lady GaGa","Bad Romance","Bad Romance",12,"Want your bad romance"
"13","Lady GaGa","Bad Romance","Bad Romance",13,"I want your ugly, I want your disease"
"14","Lady GaGa","Bad Romance","Bad Romance",14,"I want your everything as long as it’s free"
"15","Lady GaGa","Bad Romance","Bad Romance",15,"I want your love"
"16","Lady GaGa","Bad Romance","Bad Romance",16,"Love, love, love, I want your love, hey!"
"17","Lady GaGa","Bad Romance","Bad Romance",17,"I want your drama, the touch of your hand, (Hey!)"
"18","Lady GaGa","Bad Romance","Bad Romance",18,"I want your leather-studded kiss in the sand"
"19","Lady GaGa","Bad Romance","Bad Romance",19,"I want your love"
"20","Lady GaGa","Bad Romance","Bad Romance",20,"Love, love, love, I want your love"
"21","Lady GaGa","Bad Romance","Bad Romance",21,"(Love, love, love, I want your love)"
"22","Lady GaGa","Bad Romance","Bad Romance",22,"You know that I want you"
"23","Lady GaGa","Bad Romance","Bad Romance",23,"And you know that I need you"
"24","Lady GaGa","Bad Romance","Bad Romance",24,"I want it bad"
"25","Lady GaGa","Bad Romance","Bad Romance",25,"Your bad romance"
"26","Lady GaGa","Bad Romance","Bad Romance",26,"I want your love, and I want your revenge"
"27","Lady GaGa","Bad Romance","Bad Romance",27,"You and me could write a bad romance"
"28","Lady GaGa","Bad Romance","Bad Romance",28,"Oh-oh-oh-oh-oh"
"29","Lady GaGa","Bad Romance","Bad Romance",29,"I want your love, and all your lover's revenge"
"30","Lady GaGa","Bad Romance","Bad Romance",30,"You and me could write a bad romance"
"31","Lady GaGa","Bad Romance","Bad Romance",31,"Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh"
"32","Lady GaGa","Bad Romance","Bad Romance",32,"Caught in a bad romance"
"33","Lady GaGa","Bad Romance","Bad Romance",33,"Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh"
"34","Lady GaGa","Bad Romance","Bad Romance",34,"Caught in a bad romance"
"35","Lady GaGa","Bad Romance","Bad Romance",35,"Ra-ra-ah-ah-ah"
"36","Lady GaGa","Bad Romance","Bad Romance",36,"Roma-roma-ma"
"37","Lady GaGa","Bad Romance","Bad Romance",37,"Gaga, ""Oh la-la"""
"38","Lady GaGa","Bad Romance","Bad Romance",38,"Want your bad romance"
"39","Lady GaGa","Bad Romance","Bad Romance",39,"I want your horror, I want your design"
"40","Lady GaGa","Bad Romance","Bad Romance",40,"‘Cause you’re a criminal as long as you’re mine"
"41","Lady GaGa","Bad Romance","Bad Romance",41,"I want your love"
"42","Lady GaGa","Bad Romance","Bad Romance",42,"Love, love, love, I want your love, huh"
"43","Lady GaGa","Bad Romance","Bad Romance",43,"I want your psycho, your vertigo shtick (Hey, hey!)"
"44","Lady GaGa","Bad Romance","Bad Romance",44,"Want you in my rear window, baby, you're sick"
"45","Lady GaGa","Bad Romance","Bad Romance",45,"I want your love"
"46","Lady GaGa","Bad Romance","Bad Romance",46,"Love, love, love, I want your love"
"47","Lady GaGa","Bad Romance","Bad Romance",47,"(Love, love, love, I want your love)"
"48","Lady GaGa","Bad Romance","Bad Romance",48,"You know that I want you"
"49","Lady GaGa","Bad Romance","Bad Romance",49,"And you know that I need you ('cause I'm a free bitch, baby)"
"50","Lady GaGa","Bad Romance","Bad Romance",50,"I want it bad"
"51","Lady GaGa","Bad Romance","Bad Romance",51,"Your bad romance"
"52","Lady GaGa","Bad Romance","Bad Romance",52,"I want your love, and I want your revenge"
"53","Lady GaGa","Bad Romance","Bad Romance",53,"You and me could write a bad romance"
"54","Lady GaGa","Bad Romance","Bad Romance",54,"Oh-oh-oh-oh-oh"
"55","Lady GaGa","Bad Romance","Bad Romance",55,"I want your love, and all your lover's revenge"
"56","Lady GaGa","Bad Romance","Bad Romance",56,"You and me could write a bad romance"
"57","Lady GaGa","Bad Romance","Bad Romance",57,"Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh"
"58","Lady GaGa","Bad Romance","Bad Romance",58,"Caught in a bad romance"
"59","Lady GaGa","Bad Romance","Bad Romance",59,"Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh"
"60","Lady GaGa","Bad Romance","Bad Romance",60,"Caught in a bad romance"
"61","Lady GaGa","Bad Romance","Bad Romance",61,"Ra-ra-ah-ah-ah"
"62","Lady GaGa","Bad Romance","Bad Romance",62,"Roma-roma-ma"
"63","Lady GaGa","Bad Romance","Bad Romance",63,"Gaga, ""Oh la-la"""
"64","Lady GaGa","Bad Romance","Bad Romance",64,"Want your bad romance"
"65","Lady GaGa","Bad Romance","Bad Romance",65,"Ra-ra-ah-ah-ah"
"66","Lady GaGa","Bad Romance","Bad Romance",66,"Roma-roma-ma"
"67","Lady GaGa","Bad Romance","Bad Romance",67,"Gaga, ""Oh la-la"""
"68","Lady GaGa","Bad Romance","Bad Romance",68,"Want your bad romance"
"69","Lady GaGa","Bad Romance","Bad Romance",69,"Walk, walk, fashion, baby"
"70","Lady GaGa","Bad Romance","Bad Romance",70,"Work it, move that bitch crazy"
"71","Lady GaGa","Bad Romance","Bad Romance",71,"Walk, walk, fashion, baby"
"72","Lady GaGa","Bad Romance","Bad Romance",72,"Work it, move that bitch crazy"
"73","Lady GaGa","Bad Romance","Bad Romance",73,"Walk, walk, fashion, baby"
