"","artist","track","track_title","line","lyric"
"1","OMI","Cheerleader","Cheerleader",1,"Kid Ink, egh"
"2","OMI","Cheerleader","Cheerleader",2,"I think I found a genie in a bottle baby, with a bottle shape"
"3","OMI","Cheerleader","Cheerleader",3,"And she don't have no problem representing for the team"
"4","OMI","Cheerleader","Cheerleader",4,"Ok it's feeling like I just hit the lotto, baby"
"5","OMI","Cheerleader","Cheerleader",5,"32-26-34, wasted"
"6","OMI","Cheerleader","Cheerleader",6,"Watch her do a dance then it get me in the game"
"7","OMI","Cheerleader","Cheerleader",7,"Going hard in the paint what's my name what's my name girl"
"8","OMI","Cheerleader","Cheerleader",8,"You know, I be missing that bom-bom when I'm away"
"9","OMI","Cheerleader","Cheerleader",9,"I swear, when you shaking them pom-poms all I can say is"
"10","OMI","Cheerleader","Cheerleader",10,"Oh I think that I found myself a cheerleader"
"11","OMI","Cheerleader","Cheerleader",11,"She is always right there when I need her"
"12","OMI","Cheerleader","Cheerleader",12,"Oh I think that I found myself a cheerleader"
"13","OMI","Cheerleader","Cheerleader",13,"She is always right there when I need her"
"14","OMI","Cheerleader","Cheerleader",14,"When I need motivation"
"15","OMI","Cheerleader","Cheerleader",15,"My one solution is my queen"
"16","OMI","Cheerleader","Cheerleader",16,"Cause she' stay strong (yeah yeah)"
"17","OMI","Cheerleader","Cheerleader",17,"She is always in my corner"
"18","OMI","Cheerleader","Cheerleader",18,"Right there when I want her"
"19","OMI","Cheerleader","Cheerleader",19,"All these other girls are tempting"
"20","OMI","Cheerleader","Cheerleader",20,"But I'm empty when you're gone"
"21","OMI","Cheerleader","Cheerleader",21,"And they say"
"22","OMI","Cheerleader","Cheerleader",22,"Do you need me"
"23","OMI","Cheerleader","Cheerleader",23,"Do you think I'm pretty"
"24","OMI","Cheerleader","Cheerleader",24,"Do I make you feel like cheating?"
"25","OMI","Cheerleader","Cheerleader",25,"And I'm like no, not really cause"
"26","OMI","Cheerleader","Cheerleader",26,"Oh I think that I found myself a cheerleader"
