"","artist","track","track_title","line","lyric"
"1","Billie Eilish","Bad Guy","​bad guy",1,"White shirt now red, my bloody nose"
"2","Billie Eilish","Bad Guy","​bad guy",2,"Sleepin', you're on your tippy toes"
"3","Billie Eilish","Bad Guy","​bad guy",3,"Creepin' around like no one knows"
"4","Billie Eilish","Bad Guy","​bad guy",4,"Think you're so criminal"
"5","Billie Eilish","Bad Guy","​bad guy",5,"Bruises on both my knees for you"
"6","Billie Eilish","Bad Guy","​bad guy",6,"Don't say thank you or please"
"7","Billie Eilish","Bad Guy","​bad guy",7,"I do what I want when I'm wanting to"
"8","Billie Eilish","Bad Guy","​bad guy",8,"My soul? So cynical"
"9","Billie Eilish","Bad Guy","​bad guy",9,"So you're a tough guy"
"10","Billie Eilish","Bad Guy","​bad guy",10,"Like it really rough guy"
"11","Billie Eilish","Bad Guy","​bad guy",11,"Just can't get enough guy"
"12","Billie Eilish","Bad Guy","​bad guy",12,"Chest always so puffed guy"
"13","Billie Eilish","Bad Guy","​bad guy",13,"I'm that bad type"
"14","Billie Eilish","Bad Guy","​bad guy",14,"Make your mama sad type"
"15","Billie Eilish","Bad Guy","​bad guy",15,"Make your girlfriend mad tight"
"16","Billie Eilish","Bad Guy","​bad guy",16,"Might seduce your dad type"
"17","Billie Eilish","Bad Guy","​bad guy",17,"I'm the bad guy"
"18","Billie Eilish","Bad Guy","​bad guy",18,"Duh"
"19","Billie Eilish","Bad Guy","​bad guy",19,"I'm the bad guy"
"20","Billie Eilish","Bad Guy","​bad guy",20,"I like it when you take control"
"21","Billie Eilish","Bad Guy","​bad guy",21,"Even if you know that you don't"
"22","Billie Eilish","Bad Guy","​bad guy",22,"Own me, I'll let you play the role"
"23","Billie Eilish","Bad Guy","​bad guy",23,"I'll be your animal"
"24","Billie Eilish","Bad Guy","​bad guy",24,"My mommy likes to sing along with me"
"25","Billie Eilish","Bad Guy","​bad guy",25,"But she won't sing this song"
"26","Billie Eilish","Bad Guy","​bad guy",26,"If she reads all the lyrics"
"27","Billie Eilish","Bad Guy","​bad guy",27,"She'll pity the men I know"
"28","Billie Eilish","Bad Guy","​bad guy",28,"So you're a tough guy"
"29","Billie Eilish","Bad Guy","​bad guy",29,"Like it really rough guy"
"30","Billie Eilish","Bad Guy","​bad guy",30,"Just can't get enough guy"
"31","Billie Eilish","Bad Guy","​bad guy",31,"Chest always so puffed guy"
"32","Billie Eilish","Bad Guy","​bad guy",32,"I'm that bad type"
"33","Billie Eilish","Bad Guy","​bad guy",33,"Make your mama sad type"
"34","Billie Eilish","Bad Guy","​bad guy",34,"Make your girlfriend mad tight"
"35","Billie Eilish","Bad Guy","​bad guy",35,"Might seduce your dad type"
"36","Billie Eilish","Bad Guy","​bad guy",36,"I'm the bad guy"
"37","Billie Eilish","Bad Guy","​bad guy",37,"Duh"
"38","Billie Eilish","Bad Guy","​bad guy",38,"I'm the bad guy, duh"
"39","Billie Eilish","Bad Guy","​bad guy",39,"I'm only good at bein' bad, bad"
"40","Billie Eilish","Bad Guy","​bad guy",40,"I like when you get mad"
"41","Billie Eilish","Bad Guy","​bad guy",41,"I guess I'm pretty glad that you're alone"
"42","Billie Eilish","Bad Guy","​bad guy",42,"You said she's scared of me?"
"43","Billie Eilish","Bad Guy","​bad guy",43,"I mean, I don't see what she sees"
"44","Billie Eilish","Bad Guy","​bad guy",44,"But maybe it's 'cause I'm wearing your cologne"
"45","Billie Eilish","Bad Guy","​bad guy",45,"I'm a bad guy"
"46","Billie Eilish","Bad Guy","​bad guy",46,"I'm, I'm a bad guy"
"47","Billie Eilish","Bad Guy","​bad guy",47,"Bad guy, bad guy"
"48","Billie Eilish","Bad Guy","​bad guy",48,"I'm a bad"
"49","Lewis Capaldi","Someone You Loved","Someone You Loved",1,"I'm going under, and this time, I fear there's no one to save me"
"50","Lewis Capaldi","Someone You Loved","Someone You Loved",2,"This all or nothing really got a way of driving me crazy"
"51","Lewis Capaldi","Someone You Loved","Someone You Loved",3,"I need somebody to heal, somebody to know"
"52","Lewis Capaldi","Someone You Loved","Someone You Loved",4,"Somebody to have, somebody to hold"
"53","Lewis Capaldi","Someone You Loved","Someone You Loved",5,"It's easy to say, but it's never the same"
"54","Lewis Capaldi","Someone You Loved","Someone You Loved",6,"I guess I kinda liked the way you numbed all the pain"
"55","Lewis Capaldi","Someone You Loved","Someone You Loved",7,"Now, the day bleeds into nightfall"
"56","Lewis Capaldi","Someone You Loved","Someone You Loved",8,"And you're not here to get me through it all"
"57","Lewis Capaldi","Someone You Loved","Someone You Loved",9,"I let my guard down and then you pulled the rug"
"58","Lewis Capaldi","Someone You Loved","Someone You Loved",10,"I was getting kinda used to being someone you loved"
"59","Lewis Capaldi","Someone You Loved","Someone You Loved",11,"I'm going under, and this time, I fear there's no one to turn to"
"60","Lewis Capaldi","Someone You Loved","Someone You Loved",12,"This all or nothing way of loving got me sleeping without you"
"61","Lewis Capaldi","Someone You Loved","Someone You Loved",13,"Now, I need somebody to know, somebody to heal"
"62","Lewis Capaldi","Someone You Loved","Someone You Loved",14,"Somebody to have, just to know how it feels"
"63","Lewis Capaldi","Someone You Loved","Someone You Loved",15,"It's easy to say, but it's never the same"
"64","Lewis Capaldi","Someone You Loved","Someone You Loved",16,"I guess I kinda like the way you help me escape"
"65","Lewis Capaldi","Someone You Loved","Someone You Loved",17,"Now, the day bleeds into nightfall"
"66","Lewis Capaldi","Someone You Loved","Someone You Loved",18,"And you're not here to get me through it all"
"67","Lewis Capaldi","Someone You Loved","Someone You Loved",19,"I let my guard down and then you pulled the rug"
"68","Lewis Capaldi","Someone You Loved","Someone You Loved",20,"I was getting kinda used to being someone you loved"
"69","Lewis Capaldi","Someone You Loved","Someone You Loved",21,"And I tend to close my eyes when it hurts sometimes"
"70","Lewis Capaldi","Someone You Loved","Someone You Loved",22,"I fall into your arms"
"71","Lewis Capaldi","Someone You Loved","Someone You Loved",23,"I'll be safe in your sound till I come back around"
"72","Lewis Capaldi","Someone You Loved","Someone You Loved",24,"For now, the day bleeds into nightfall"
"73","Lewis Capaldi","Someone You Loved","Someone You Loved",25,"And you're not here to get me through it all"
"74","Lewis Capaldi","Someone You Loved","Someone You Loved",26,"I let my guard down and then you pulled the rug"
"75","Lewis Capaldi","Someone You Loved","Someone You Loved",27,"I was getting kinda used to being someone you loved"
"76","Lewis Capaldi","Someone You Loved","Someone You Loved",28,"But now the day bleeds into nightfall"
"77","Lewis Capaldi","Someone You Loved","Someone You Loved",29,"And you're not here to get me through it all"
"78","Lewis Capaldi","Someone You Loved","Someone You Loved",30,"I let my guard down and then you pulled the rug"
"79","Lewis Capaldi","Someone You Loved","Someone You Loved",31,"I was getting kinda used to being someone you loved"
"80","Lewis Capaldi","Someone You Loved","Someone You Loved",32,"I let my guard down and then you pulled the rug"
"81","Lewis Capaldi","Someone You Loved","Someone You Loved",33,"I was getting kinda used to being someone you loved"
"82","Shawn Mendes & Camila Cabello","Senorita","Señorita",1,"I love it when you call me señorita"
"83","Shawn Mendes & Camila Cabello","Senorita","Señorita",2,"I wish I could pretend I didn't need ya"
"84","Shawn Mendes & Camila Cabello","Senorita","Señorita",3,"But every touch is ooh-la-la-la"
"85","Shawn Mendes & Camila Cabello","Senorita","Señorita",4,"It's true, la-la-la"
"86","Shawn Mendes & Camila Cabello","Senorita","Señorita",5,"Ooh, I should be runnin'"
"87","Shawn Mendes & Camila Cabello","Senorita","Señorita",6,"Ooh, you keep me coming for ya"
"88","Shawn Mendes & Camila Cabello","Senorita","Señorita",7,"Land in Miami"
"89","Shawn Mendes & Camila Cabello","Senorita","Señorita",8,"The air was hot from summer rain"
"90","Shawn Mendes & Camila Cabello","Senorita","Señorita",9,"Sweat drippin' off me"
"91","Shawn Mendes & Camila Cabello","Senorita","Señorita",10,"Before I even knew her name, la-la-la"
"92","Shawn Mendes & Camila Cabello","Senorita","Señorita",11,"It felt like ooh-la-la-la, yeah, no"
"93","Shawn Mendes & Camila Cabello","Senorita","Señorita",12,"Sapphire moonlight"
"94","Shawn Mendes & Camila Cabello","Senorita","Señorita",13,"We danced for hours in the sand"
"95","Shawn Mendes & Camila Cabello","Senorita","Señorita",14,"Tequila Sunrise"
"96","Shawn Mendes & Camila Cabello","Senorita","Señorita",15,"Her body fit right in my hands, la-la-la"
"97","Shawn Mendes & Camila Cabello","Senorita","Señorita",16,"It felt like ooh-la-la-la, yeah"
"98","Shawn Mendes & Camila Cabello","Senorita","Señorita",17,"I love it when you call me señorita"
"99","Shawn Mendes & Camila Cabello","Senorita","Señorita",18,"I wish I could pretend I didn't need ya"
"100","Shawn Mendes & Camila Cabello","Senorita","Señorita",19,"But every touch is ooh-la-la-la"
"101","Shawn Mendes & Camila Cabello","Senorita","Señorita",20,"It's true, la-la-la"
"102","Shawn Mendes & Camila Cabello","Senorita","Señorita",21,"Ooh, I should be runnin'Ooh, you know I love it when you call me señorita"
"103","Shawn Mendes & Camila Cabello","Senorita","Señorita",22,"I wish it wasn't so damn hard to leave ya"
"104","Shawn Mendes & Camila Cabello","Senorita","Señorita",23,"But every touch is ooh-la-la-la"
"105","Shawn Mendes & Camila Cabello","Senorita","Señorita",24,"It's true, la-la-la"
"106","Shawn Mendes & Camila Cabello","Senorita","Señorita",25,"Ooh, I should be runnin'Ooh, you keep me coming for ya"
"107","Shawn Mendes & Camila Cabello","Senorita","Señorita",26,"Locked in the hotel"
"108","Shawn Mendes & Camila Cabello","Senorita","Señorita",27,"There's just some things that never change"
"109","Shawn Mendes & Camila Cabello","Senorita","Señorita",28,"You say we're just friends"
"110","Shawn Mendes & Camila Cabello","Senorita","Señorita",29,"But friends don't know the way you taste, la-la-la (La, la, la)"
"111","Shawn Mendes & Camila Cabello","Senorita","Señorita",30,"'Cause you know it's been a long time coming"
"112","Shawn Mendes & Camila Cabello","Senorita","Señorita",31,"Don't ya let me fall, oh"
"113","Shawn Mendes & Camila Cabello","Senorita","Señorita",32,"Ooh, when your lips undress me, hooked on your tongue"
"114","Shawn Mendes & Camila Cabello","Senorita","Señorita",33,"Ooh, love, your kiss is deadly, don't stop"
"115","Shawn Mendes & Camila Cabello","Senorita","Señorita",34,"I love it when you call me señorita"
"116","Shawn Mendes & Camila Cabello","Senorita","Señorita",35,"I wish I could pretend I didn't need ya"
"117","Shawn Mendes & Camila Cabello","Senorita","Señorita",36,"But every touch is ooh-la-la-la"
"118","Shawn Mendes & Camila Cabello","Senorita","Señorita",37,"It's true, la-la-la"
"119","Shawn Mendes & Camila Cabello","Senorita","Señorita",38,"Ooh, I should be runnin'Ooh, you know I love it when you call me señorita"
"120","Shawn Mendes & Camila Cabello","Senorita","Señorita",39,"I wish it wasn't so damn hard to leave ya (So damn hard to leave ya)"
"121","Shawn Mendes & Camila Cabello","Senorita","Señorita",40,"But every touch is ooh-la-la-la"
"122","Shawn Mendes & Camila Cabello","Senorita","Señorita",41,"It's true, la-la-la (True la-la)"
"123","Shawn Mendes & Camila Cabello","Senorita","Señorita",42,"Ooh, I should be runnin'"
"124","Shawn Mendes & Camila Cabello","Senorita","Señorita",43,"Ooh, you keep me coming for ya"
"125","Shawn Mendes & Camila Cabello","Senorita","Señorita",44,"All along, I've been coming for ya (For you)"
"126","Shawn Mendes & Camila Cabello","Senorita","Señorita",45,"And I hope it meant something to you (Oh)"
"127","Shawn Mendes & Camila Cabello","Senorita","Señorita",46,"Call my name, I'll be coming for ya (Coming for you)"
"128","Shawn Mendes & Camila Cabello","Senorita","Señorita",47,"Coming for ya (Coming for you)"
"129","Shawn Mendes & Camila Cabello","Senorita","Señorita",48,"For ya"
"130","Shawn Mendes & Camila Cabello","Senorita","Señorita",49,"For ya (Oh, she loves it when I call)"
"131","Shawn Mendes & Camila Cabello","Senorita","Señorita",50,"For ya"
"132","Shawn Mendes & Camila Cabello","Senorita","Señorita",51,"Ooh, I should be runnin'"
"133","Shawn Mendes & Camila Cabello","Senorita","Señorita",52,"Ooh, you keep me coming for ya"
