"","artist","track","track_title","line","lyric"
"1","Roddy Ricch","The Box","The Box",1,"Pullin' out the coupe at the lot"
"2","Roddy Ricch","The Box","The Box",2,"Told 'em fuck 12, fuck SWAT"
"3","Roddy Ricch","The Box","The Box",3,"Bustin' all the bells out the box"
"4","Roddy Ricch","The Box","The Box",4,"I just hit a lick with the box"
"5","Roddy Ricch","The Box","The Box",5,"Had to put the stick in the box, mmh"
"6","Roddy Ricch","The Box","The Box",6,"Pour up the whole damn seal, I'ma get lazy"
"7","Roddy Ricch","The Box","The Box",7,"I got the mojo deals, we been trappin' like the '80s"
"8","Roddy Ricch","The Box","The Box",8,"She sucked a nigga soul, gotta Cash App"
"9","Roddy Ricch","The Box","The Box",9,"Told 'em wipe a nigga nose, say slatt, slatt"
"10","Roddy Ricch","The Box","The Box",10,"I won't never sell my soul, and I can back that"
"11","Roddy Ricch","The Box","The Box",11,"And I really wanna know where you at, at"
"12","Roddy Ricch","The Box","The Box",12,"I was out back where the stash at"
"13","Roddy Ricch","The Box","The Box",13,"Cruise the city in a bulletproof Cadillac (Skrrt)"
"14","Roddy Ricch","The Box","The Box",14,"'Cause I know these niggas after where the bag at (Yeah)"
"15","Roddy Ricch","The Box","The Box",15,"Gotta move smarter, gotta move harder"
"16","Roddy Ricch","The Box","The Box",16,"Nigga try to get me for my water"
"17","Roddy Ricch","The Box","The Box",17,"I'll lay his ass down, on my son, on my daughter"
"18","Roddy Ricch","The Box","The Box",18,"I had the Draco with me, Dwayne Carter"
"19","Roddy Ricch","The Box","The Box",19,"Lotta niggas out here playin', ain't ballin'"
"20","Roddy Ricch","The Box","The Box",20,"I done put my whole arm in the rim, Vince Carter (Yeah)"
"21","Roddy Ricch","The Box","The Box",21,"And I know probably get a key for the quarter"
"22","Roddy Ricch","The Box","The Box",22,"Shawty barely seen in double C's, I bought 'em"
"23","Roddy Ricch","The Box","The Box",23,"Got a bitch that's looking like Aaliyah, she a model"
"24","Roddy Ricch","The Box","The Box",24,"I got the pink slip, all my whips is key-less"
"25","Roddy Ricch","The Box","The Box",25,"Compton, I'm about to get the key to the city"
"26","Roddy Ricch","The Box","The Box",26,"Patek like the sea, forgive me"
"27","Roddy Ricch","The Box","The Box",27,"Pullin' out the coupe at the lot"
"28","Roddy Ricch","The Box","The Box",28,"Told 'em fuck 12, fuck SWAT"
"29","Roddy Ricch","The Box","The Box",29,"Bustin' all the bells out the box"
"30","Roddy Ricch","The Box","The Box",30,"I just hit a lick with the box"
"31","Roddy Ricch","The Box","The Box",31,"Had to put the stick in the box, mmh"
"32","Roddy Ricch","The Box","The Box",32,"Pour up the whole damn seal, I'ma get lazy"
"33","Roddy Ricch","The Box","The Box",33,"I got the mojo deals, we been trappin' like the '80s"
"34","Roddy Ricch","The Box","The Box",34,"She sucked a nigga soul, gotta Cash App"
"35","Roddy Ricch","The Box","The Box",35,"Told 'em wipe a nigga nose, say slatt, slatt"
"36","Roddy Ricch","The Box","The Box",36,"I won't never sell my soul, and I can back that"
"37","Roddy Ricch","The Box","The Box",37,"And I really wanna know where you at, at, hah"
"38","Roddy Ricch","The Box","The Box",38,"Hahaha, I been movin' 'em out"
"39","Roddy Ricch","The Box","The Box",39,"If Steelo with me, then he got the blues in the pouch (Yeah)"
"40","Roddy Ricch","The Box","The Box",40,"Took her to the forest, put the wood in her mouth"
"41","Roddy Ricch","The Box","The Box",41,"Bitch, don't wear no shoes in my house"
"42","Roddy Ricch","The Box","The Box",42,"The private I'm flyin' in, I never wan' fly again"
"43","Roddy Ricch","The Box","The Box",43,"I'll take my chances in traffic (Yeah)"
"44","Roddy Ricch","The Box","The Box",44,"She suckin' on dick, no hands with it"
"45","Roddy Ricch","The Box","The Box",45,"I just made the Rollie plain like a landing strip"
"46","Roddy Ricch","The Box","The Box",46,"I'm a 2020 president candidate"
"47","Roddy Ricch","The Box","The Box",47,"I done put a hundred bands on Zimmerman, shit"
"48","Roddy Ricch","The Box","The Box",48,"I been movin' real gangster, so that's why she picked a Crip"
"49","Roddy Ricch","The Box","The Box",49,"Shawty call me Crisco 'cause I pop my shit"
"50","Roddy Ricch","The Box","The Box",50,"Got it out the mud, there's nothin' you can tell me, yeah"
"51","Roddy Ricch","The Box","The Box",51,"When I had the drugs, I was street wealthy, yeah"
"52","Roddy Ricch","The Box","The Box",52,"Pullin' out the coupe at the lot"
"53","Roddy Ricch","The Box","The Box",53,"Told 'em fuck 12, fuck SWAT"
"54","Roddy Ricch","The Box","The Box",54,"Bustin' all the bells out the box"
"55","Roddy Ricch","The Box","The Box",55,"I just hit a lick with the box"
"56","Roddy Ricch","The Box","The Box",56,"Had to put the stick in the box, mmh"
"57","Roddy Ricch","The Box","The Box",57,"Pour up the whole damn seal, I'ma get lazy"
"58","Roddy Ricch","The Box","The Box",58,"I got the mojo deals, we been trappin' like the '80s"
"59","Roddy Ricch","The Box","The Box",59,"She sucked a nigga soul, gotta Cash App"
"60","Roddy Ricch","The Box","The Box",60,"Told 'em wipe a nigga nose, say slatt, slatt"
"61","Roddy Ricch","The Box","The Box",61,"I won't never sell my soul, and I can back that"
"62","Roddy Ricch","The Box","The Box",62,"And I really wanna know where you at, at"
"63","Tones And I","Dance Monkey","Dance Monkey",1,"They say, ""Oh my God, I see the way you shine"
"64","Tones And I","Dance Monkey","Dance Monkey",2,"Take your hands, my dear, and place them both in mine"""
"65","Tones And I","Dance Monkey","Dance Monkey",3,"You know you stopped me dead while I was passing by"
"66","Tones And I","Dance Monkey","Dance Monkey",4,"And now I beg to see you dance just one more time"
"67","Tones And I","Dance Monkey","Dance Monkey",5,"Ooh, I see you, see you, see you every time"
"68","Tones And I","Dance Monkey","Dance Monkey",6,"And oh my, I, I like your style"
"69","Tones And I","Dance Monkey","Dance Monkey",7,"You, you make me, make me, make me wanna cry"
"70","Tones And I","Dance Monkey","Dance Monkey",8,"And now I beg to see you dance just one more time"
"71","Tones And I","Dance Monkey","Dance Monkey",9,"So they say"
"72","Tones And I","Dance Monkey","Dance Monkey",10,"""Dance for me, dance for me, dance for me, oh-oh-oh"
"73","Tones And I","Dance Monkey","Dance Monkey",11,"I've never seen anybody do the things you do before"""
"74","Tones And I","Dance Monkey","Dance Monkey",12,"They say"
"75","Tones And I","Dance Monkey","Dance Monkey",13,"""Move for me, move for me, move for me, ayy-ayy-ayy"
"76","Tones And I","Dance Monkey","Dance Monkey",14,"And when you’re done, I'll make you do it all again"""
"77","Tones And I","Dance Monkey","Dance Monkey",15,"I said, ""Oh my God, I see you walking by"
"78","Tones And I","Dance Monkey","Dance Monkey",16,"Take my hands, my dear, and look me in my eyes""Just like a monkey, I've been dancin’ my whole life"
"79","Tones And I","Dance Monkey","Dance Monkey",17,"But you just beg to see me dance just one more time"
"80","Tones And I","Dance Monkey","Dance Monkey",18,"Ooh, I see you, see you, see you every time"
"81","Tones And I","Dance Monkey","Dance Monkey",19,"And oh my, I, I like your style"
"82","Tones And I","Dance Monkey","Dance Monkey",20,"You, you make me, make me, make me wanna cry"
"83","Tones And I","Dance Monkey","Dance Monkey",21,"And now I beg to see you dance just one more time"
"84","Tones And I","Dance Monkey","Dance Monkey",22,"So they say"
"85","Tones And I","Dance Monkey","Dance Monkey",23,"""Dance for me, dance for me, dance for me, oh-oh-oh"
"86","Tones And I","Dance Monkey","Dance Monkey",24,"I've never seen anybody do the things you do before"""
"87","Tones And I","Dance Monkey","Dance Monkey",25,"They say"
"88","Tones And I","Dance Monkey","Dance Monkey",26,"""Move for me, move for me, move for me, ayy-ayy-ayy"
"89","Tones And I","Dance Monkey","Dance Monkey",27,"And when you're done, I'll make you do it all again"""
"90","Tones And I","Dance Monkey","Dance Monkey",28,"They say"
"91","Tones And I","Dance Monkey","Dance Monkey",29,"""Dance for me, dance for me, dance for me, oh-oh-oh, oh-oh, oh-oh"
"92","Tones And I","Dance Monkey","Dance Monkey",30,"I've never seen anybody do the things you do before"""
"93","Tones And I","Dance Monkey","Dance Monkey",31,"They say"
"94","Tones And I","Dance Monkey","Dance Monkey",32,"""Move for me, move for me, move for me, ayy-ayy-ayy"
"95","Tones And I","Dance Monkey","Dance Monkey",33,"And when you're done, I'll make you do it all again"""
"96","Tones And I","Dance Monkey","Dance Monkey",34,"Ooh, ooh, ooh, ooh, ooh"
"97","Tones And I","Dance Monkey","Dance Monkey",35,"Oh-oh, oh-oh, oh"
"98","Tones And I","Dance Monkey","Dance Monkey",36,"Ooh, ooh, ooh, ooh, ooh-ooh"
"99","Tones And I","Dance Monkey","Dance Monkey",37,"Ooh, ah-ah, ah-ah"
"100","Tones And I","Dance Monkey","Dance Monkey",38,"They say"
"101","Tones And I","Dance Monkey","Dance Monkey",39,"""Dance for me, dance for me, dance for me, oh-oh-oh"
"102","Tones And I","Dance Monkey","Dance Monkey",40,"I've never seen anybody do the things you do before"""
"103","Tones And I","Dance Monkey","Dance Monkey",41,"They say"
"104","Tones And I","Dance Monkey","Dance Monkey",42,"""Move for me, move for me, move for me, ayy-ayy-ayy"
"105","Tones And I","Dance Monkey","Dance Monkey",43,"And when you’re done, I’ll make you do it all again"""
"106","Tones And I","Dance Monkey","Dance Monkey",44,"They say"
"107","Tones And I","Dance Monkey","Dance Monkey",45,"""Dance for me, dance for me, dance for me, oh-oh-oh, oh-oh, oh-oh"
"108","Tones And I","Dance Monkey","Dance Monkey",46,"I've never seen anybody do the things you do before"""
"109","Tones And I","Dance Monkey","Dance Monkey",47,"They say"
"110","Tones And I","Dance Monkey","Dance Monkey",48,"""Move for me, move for me, move for me, ayy-ayy-ayy"
"111","Tones And I","Dance Monkey","Dance Monkey",49,"And when you’re done, I'll make you do it all again"
"112","Tones And I","Dance Monkey","Dance Monkey",50,"All again"""
"113","Maroon 5","Memories","Memories",1,"Here's to the ones that we got"
"114","Maroon 5","Memories","Memories",2,"Cheers to the wish you were here, but you're not"
"115","Maroon 5","Memories","Memories",3,"'Cause the drinks bring back all the memories"
"116","Maroon 5","Memories","Memories",4,"Of everything we've been through"
"117","Maroon 5","Memories","Memories",5,"Toast to the ones here today"
"118","Maroon 5","Memories","Memories",6,"Toast to the ones that we lost on the way"
"119","Maroon 5","Memories","Memories",7,"'Cause the drinks bring back all the memories"
"120","Maroon 5","Memories","Memories",8,"And the memories bring back, memories bring back you"
"121","Maroon 5","Memories","Memories",9,"There's a time that I remember, when I did not know no pain"
"122","Maroon 5","Memories","Memories",10,"When I believed in forever, and everything would stay the same"
"123","Maroon 5","Memories","Memories",11,"Now my heart feel like December when somebody say your name"
"124","Maroon 5","Memories","Memories",12,"'Cause I can't reach out to call you, but I know I will one day, yeah"
"125","Maroon 5","Memories","Memories",13,"Everybody hurts sometimes"
"126","Maroon 5","Memories","Memories",14,"Everybody hurts someday, ayy-ayy"
"127","Maroon 5","Memories","Memories",15,"But everything gon' be alright"
"128","Maroon 5","Memories","Memories",16,"Go and raise a glass and say, ayy"
"129","Maroon 5","Memories","Memories",17,"Here's to the ones that we got"
"130","Maroon 5","Memories","Memories",18,"Cheers to the wish you were here, but you're not"
"131","Maroon 5","Memories","Memories",19,"'Cause the drinks bring back all the memories"
"132","Maroon 5","Memories","Memories",20,"Of everything we've been through"
"133","Maroon 5","Memories","Memories",21,"Toast to the ones here today"
"134","Maroon 5","Memories","Memories",22,"Toast to the ones that we lost on the way"
"135","Maroon 5","Memories","Memories",23,"'Cause the drinks bring back all the memories"
"136","Maroon 5","Memories","Memories",24,"And the memories bring back, memories bring back you"
"137","Maroon 5","Memories","Memories",25,"Doo-doo, doo-doo-doo-doo"
"138","Maroon 5","Memories","Memories",26,"Doo-doo-doo-doo, doo-doo-doo-doo"
"139","Maroon 5","Memories","Memories",27,"Doo-doo-doo-doo, doo-doo-doo"
"140","Maroon 5","Memories","Memories",28,"Memories bring back, memories bring back you"
"141","Maroon 5","Memories","Memories",29,"There's a time that I remember when I never felt so lost"
"142","Maroon 5","Memories","Memories",30,"When I felt all of the hatred was too powerful to stop (Ooh, yeah)"
"143","Maroon 5","Memories","Memories",31,"Now my heart feel like an ember and it's lighting up the dark"
"144","Maroon 5","Memories","Memories",32,"I'll carry these torches for ya that you know I'll never drop, yeah"
"145","Maroon 5","Memories","Memories",33,"Everybody hurts sometimes"
"146","Maroon 5","Memories","Memories",34,"Everybody hurts someday, ayy-ayy"
"147","Maroon 5","Memories","Memories",35,"But everything gon' be alright"
"148","Maroon 5","Memories","Memories",36,"Go and raise a glass and say, ayy"
"149","Maroon 5","Memories","Memories",37,"Here's to the ones that we got (Oh-oh)"
"150","Maroon 5","Memories","Memories",38,"Cheers to the wish you were here, but you're not"
"151","Maroon 5","Memories","Memories",39,"'Cause the drinks bring back all the memories"
"152","Maroon 5","Memories","Memories",40,"Of everything we've been through (No, no)"
"153","Maroon 5","Memories","Memories",41,"Toast to the ones here today (Ayy)"
"154","Maroon 5","Memories","Memories",42,"Toast to the ones that we lost on the way"
"155","Maroon 5","Memories","Memories",43,"'Cause the drinks bring back all the memories (Ayy)"
"156","Maroon 5","Memories","Memories",44,"And the memories bring back, memories bring back you"
"157","Maroon 5","Memories","Memories",45,"Doo-doo, doo-doo-doo-doo"
"158","Maroon 5","Memories","Memories",46,"Doo-doo-doo-doo, doo-doo-doo-doo"
"159","Maroon 5","Memories","Memories",47,"Doo-doo-doo-doo, doo-doo-doo"
"160","Maroon 5","Memories","Memories",48,"Memories bring back, memories bring back you"
"161","Maroon 5","Memories","Memories",49,"Doo-doo, doo-doo-doo-doo"
"162","Maroon 5","Memories","Memories",50,"Doo-doo-doo-doo, doo-doo-doo-doo"
"163","Maroon 5","Memories","Memories",51,"Doo-doo-doo-doo, doo-doo-doo (Ooh, yeah)"
"164","Maroon 5","Memories","Memories",52,"Memories bring back, memories bring back you"
"165","Maroon 5","Memories","Memories",53,"Yeah, yeah, yeah"
"166","Maroon 5","Memories","Memories",54,"Yeah, yeah, yeah, yeah, yeah, no, no"
"167","Maroon 5","Memories","Memories",55,"Memories bring back, memories bring back you"
"168","Post Malone","Circles","Circles",1,"Oh, oh, oh"
"169","Post Malone","Circles","Circles",2,"Oh,  oh, oh"
"170","Post Malone","Circles","Circles",3,"Oh,  oh, oh, oh, oh"
"171","Post Malone","Circles","Circles",4,"We couldn't turn around 'til we were upside down"
"172","Post Malone","Circles","Circles",5,"I'll be the bad guy now, but know I ain't too proud"
"173","Post Malone","Circles","Circles",6,"I  couldn't be there even when I tried"
"174","Post Malone","Circles","Circles",7,"You  don't believe it, we do this every time"
"175","Post Malone","Circles","Circles",8,"Seasons change and our love went cold"
"176","Post Malone","Circles","Circles",9,"Feed  the flame 'cause we can't let go"
"177","Post Malone","Circles","Circles",10,"Run away, but we're running in circles"
"178","Post Malone","Circles","Circles",11,"Run away, run away"
"179","Post Malone","Circles","Circles",12,"I dare you to do something"
"180","Post Malone","Circles","Circles",13,"I'm  waiting on you again, so I don't take the blame"
"181","Post Malone","Circles","Circles",14,"Run away, but we're running in circles"
"182","Post Malone","Circles","Circles",15,"Run away, run away, run away"
"183","Post Malone","Circles","Circles",16,"Let go, I got a feeling that it's time to let go"
"184","Post Malone","Circles","Circles",17,"I said so, I knew that this was doomed from the get-go"
"185","Post Malone","Circles","Circles",18,"You thought that it was special, special"
"186","Post Malone","Circles","Circles",19,"But it was just the sex though, the sex though"
"187","Post Malone","Circles","Circles",20,"And I still hear the echoes (The echoes)"
"188","Post Malone","Circles","Circles",21,"I got a feeling that it's time to let it go, let it go"
"189","Post Malone","Circles","Circles",22,"Seasons change and our love went cold"
"190","Post Malone","Circles","Circles",23,"Feed the flame 'cause we can't let go"
"191","Post Malone","Circles","Circles",24,"Run away, but we're running in circles"
"192","Post Malone","Circles","Circles",25,"Run away, run away"
"193","Post Malone","Circles","Circles",26,"I dare you to do something"
"194","Post Malone","Circles","Circles",27,"I'm waiting on you again, so I don't take the blame"
"195","Post Malone","Circles","Circles",28,"Run away, but we're running in circles"
"196","Post Malone","Circles","Circles",29,"Run away, run away, run away"
"197","Post Malone","Circles","Circles",30,"Maybe you don't understand what I'm going through"
"198","Post Malone","Circles","Circles",31,"It's only me, what you got to lose?"
"199","Post Malone","Circles","Circles",32,"Make up your mind, tell me, what are you gonna do?"
"200","Post Malone","Circles","Circles",33,"It's only me, let it go"
"201","Post Malone","Circles","Circles",34,"Seasons change and our love went cold"
